feature,category,woe,coefficient,iv,points
p_pay_ratio,"[0.79, 0.85)",0.8013118869005589,-0.2169898589406873,0.03452935708843433,52
p_pay_ratio,"[0.73, 0.79)",0.60260061207086,-0.2169898589406873,0.025814879057498966,49
p_pay_ratio,"[0.68, 0.73)",0.40484546771982544,-0.2169898589406873,0.011650622249549795,46
p_pay_ratio,"[0.63, 0.68)",0.17233931059765029,-0.2169898589406873,0.002121571731029741,42
p_pay_ratio,"[0.60, 0.63)",0.043538630371549925,-0.2169898589406873,9.412805342555968e-05,40
p_pay_ratio,Special,0.0,-0.2169898589406873,0.0,40
p_pay_ratio,Missing,0.0,-0.2169898589406873,0.0,40
p_pay_ratio,"[0.53, 0.60)",-0.16971520738513757,-0.2169898589406873,0.002940398852363587,37
p_pay_ratio,"[0.45, 0.53)",-0.47423497378293344,-0.2169898589406873,0.027067751693808755,32
p_pay_ratio,"[0.31, 0.45)",-0.8902440827737705,-0.2169898589406873,0.11068234552773885,26
p_pay_ratio,"(-inf, 0.31)",-1.5021802762135505,-0.2169898589406873,0.23327658476791116,16
s_cash_adv_amt,"(-inf, 0.00)",1.2710729199871653,-0.05845394661637837,0.4797799440471173,45
s_cash_adv_amt,"[0.00, 2.44)",0.07050367337691554,-0.05845394661637837,0.00033590765352298403,40
s_cash_adv_amt,Special,0.0,-0.05845394661637837,0.0,40
s_cash_adv_amt,Missing,0.0,-0.05845394661637837,0.0,40
s_cash_adv_amt,"[2.44, 7.35)",-0.1536020527490729,-0.05845394661637837,0.001965810229330776,39
s_cash_adv_amt,"[7.35, 16.30)",-0.35423312480813074,-0.05845394661637837,0.012721531555694159,38
s_cash_adv_amt,"[16.30, 33.20)",-0.5508627279159497,-0.05845394661637837,0.0358981791329571,37
s_cash_adv_amt,"[33.20, 65.27)",-0.7855213978973068,-0.05845394661637837,0.07313065627253175,36
s_cash_adv_amt,"[65.27, inf)",-1.1855850124159373,-0.05845394661637837,0.20777212953296037,35
